"kit_desc","kit_prod","piece_desc_kitting","quantity","source","job_number","match","promail_id","proml_stat","filename_kitting","domestic","foreign","drop_date","drop_mthd","addl_instr_kitting","vrsn_num_kitting"
"","","","","","","","","","000000-WACHD - POB-V01-060612","4","0","06/06/2012","Meter","","1"
"","","","","","","","","","000000-WACHD - FRC-V02-060612","244","0","06/06/2012","Indicia","","2"
"","","","","","","","","","000000-WACHD - POB-V03-060612","198","0","06/06/2012","Meter","","3"
"","","","","","","","","","000000-WACHD - POB-V04-060612","74","0","06/06/2012","Meter","","4"
"","","","","","","","","","000000-WACHD - POB-V05-060612","174","0","06/06/2012","Meter","","5"
"","","","","","","","","","000000-WACHD - POB-V06-060612","43","0","06/06/2012","Meter","","6"
"","","","","","","","","","000000-WACHD - FRC-V07-060612","268","0","06/06/2012","Indicia","","7"
"","","","","","","","","","000000-WACHD - FRC-V08-060612","36664","0","06/06/2012","Indicia","","8"
"","","","","","","","","","000000-WACHD - FRC-V09-060612","7262","0","06/06/2012","Indicia","","9"
"","","","","","","","","","000000-WACHD - FRC-V10-060612","2848","0","06/06/2012","Indicia","","10"
"","","","","","","","","","000000-WACHD - FRC-V11-060612","13805","0","06/06/2012","Indicia","","11"
"","","","","","","","","","000000-WACHD - FRC-V12-060612","1571","0","06/06/2012","Indicia","","12"
"","","","","","","","","","000000-WACHD - POB-V05-060712","9","0","06/07/2012","Meter","","5"
"","","","","","","","","","000000-WACHD - POB-V06-060712","5","0","06/07/2012","Meter","","6"
"","","","","","","","","","000000-WACHD - FRC-V11-060712","955","0","06/07/2012","Indicia","","11"
"","","","","","","","","","000000-WACHD - FRC-V12-060712","373","0","06/07/2012","Indicia","","12"
"","","Envelope - 9x12F WF 9/11","1","ProMail","N/A","No","9x12F WF 9/11","","","","","","","","1"
"","","Envelope - 9x12F WF 9/11","1","ProMail","N/A","No","9x12F WF 9/11","","","","","","","","2"
"","","Envelope - 9x12F WF 9/11","1","ProMail","N/A","No","9x12F WF 9/11","","","","","","","","3"
"","","Envelope - 9x12F WF 9/11","1","ProMail","N/A","No","9x12F WF 9/11","","","","","","","","4"
"","","Envelope - 9x12F WF 9/11","1","ProMail","N/A","No","9x12F WF 9/11","","","","","","","","5"
